foodName,originPoint,transportDistance,weight,unitsTotal,valueTTW,valueWTW,valuePerkg
Pineapple Golden,Costa Rica,5670,66.6781,,2.54,2.86,0.038093467
Gooseberries,Colombia,5968,8.5,,0.33,0.37,0.038823529
Endive Belgium,Belgium,6439,6.75,79,0.3,0.33,0.044444444
Garlic,Spain,6522,73.724,,3.06,3.46,0.041506158
Vanilla Pod,Germany,6589,8.64,2880 tubes,0.38,0.43,0.043981481
Dragon Fruit,Ecuador,7374,2.7,,0.13,0.14,0.048148148
Peas Snow,Guatemala,7517,19.5,,0.95,1.05,0.048717949
Peas Sugar Snap,Guatemala,7517,30.5,,1.46,1.64,0.047868852
Kiwi,Chile,10769,37.6,470,2.48,2.77,0.065957447
Ginger Fresh,Brazil,10859,29.074,,1.94,2.16,0.066726285
Mangos,Brazil,10859,1063.83,6079,70.94,79.04,0.066683587
Peaches,Brazil,10859,24.5,140,1.63,1.82,0.066530612
Garlic peeled,China,13853,3,,0.3,0.36,0.1
Lemons,South Africa,15404,178.5,2100,18.8,20.86,0.105322129
Oranges Navel,South Africa,15404,91.56,654,9.64,10.7,0.105286151
Pepper Red Thai Chile,Thailand,17636,0.908,,0.11,0.12,0.121145374
Oranges Blood,Australia,20568,14.56,104,2.24,2.49,0.153846154
